Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,Europe & Central Asia,Low income,,-1.02733536958694,-0.729411256313324,-1.69919953346252,4154271,4228936.1,8383207.1,5.352082,61.6,306.632806803031,2793.75898615886,0.526414218107859,54.1114583333333,0.277046543891889,0.158623802797842
LSO,Lesotho,Lesotho,Kingdom of Lesotho,Sub-Saharan Africa,Lower middle income,,-0.804554533958435,-0.251251229643822,0.0300076242536306,1047014.3,1007500.5,2054514.8,9.069674,33.3,,2629.63969033439,0.377691382706166,53.5863541666667,0.482469775156634,0.0613623934227198
SLB,Solomon Islands,Solomon Islands,Solomon Islands,East Asia & Pacific,Lower middle income,,-1.0133659362793,0.43255016207695,0.474767917394638,293343.9,303169.5,596513.4,7.720266,,,2582.53477697337,0.431244108835856,38.686875,0.557536717613027,0.0946808466877514
TZA,Tanzania,Tanzania,United Republic of Tanzania,Sub-Saharan Africa,Lower middle income,HIPC,-0.683397626876831,-0.468576264381409,-0.317764821648598,25493984,25409573.2,50903557.2,12.09522,55.75,485.867639549715,2330.13358608944,0.392031925916672,60.6213541666666,0.445327705827486,0.0754447109201586
GIN,Guinea,Guinea,Republic of Guinea,Sub-Saharan Africa,Low income,HIPC,-0.987921917438507,-0.637380027770996,-0.771201324462891,5923027.8,5450181.7,11373209.5,14.057516,79.65,,2171.98040982277,0.371341691096624,41.8832291666667,0.367672703004025,0.0550493603820563
MLI,Mali,Mali,Republic of Mali,Sub-Saharan Africa,Low income,HIPC,-0.984317123889923,-1.88806934356689,-0.280987256765366,8627206.4,8630778.5,17257984.9,17.373178,80.9666666666667,,2143.71514015709,0.318924923181534,51.7671875,0.311605054317199,0.0220583724674527
GMB,The Gambia,Gambia. The,Republic of The Gambia,Sub-Saharan Africa,Low income,HIPC,-0.729215097427368,-0.0906849708408117,-0.751845794916153,1038618.8,1022462,2061080.8,8.454866,58.4,,2129.36533237912,0.398388300120831,45.5432291666667,0.433883423081407,0.0717807186032741
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,South Asia,Low income,HIPC,-1.36102042198181,-2.68878049850464,-1.0253724694252,16425453.6,17315741.4,33741195,8.56699,85.2,,2043.84588722182,0.394257794300715,44.8505208333333,0.153005529215069,0.0687562071136255
UGA,Uganda,Uganda,Republic of Uganda,Sub-Saharan Africa,Low income,HIPC,-0.564951401948929,-0.686079585552216,-0.617938077449799,19281885.7,18628094.8,37909980.5,12.566338,53.65,,2034.30804367974,0.37302835303545,67.4926041666667,0.412055998774855,0.0554041882374443
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Low income,HIPC,-0.620084738731384,-0.928677845001221,-0.051575724594295,8986287.8,8907748.7,17894036.5,11.004412,43.5,,1936.82162876837,0.362674298942089,51.9616666666667,0.437240832157371,0.048418675317508
